id,sentence,topic,sentiment
1877,quá nhiều nội dung không cần thiết .,1,0
1878,nên tìm được phương pháp dễ hình dung và thực tiễn hơn .,1,0
1879,"chất lượng dạy còn khá nhiều chỗ chưa tốt , thời gian dạy còn chưa hiệu quả .",1,0
1880,"thời lượng phân bổ thoạt đầu bị thay đổi kiến nhiều sinh viên bức xúc , và em cũng vậy .",1,0
1881,đề thực hành quá khó .,1,0
1882,"cô rất nhiệt tình và gửi nhiều tâm huyết trong giảng dạy , luôn hướng cho chúng em tiếp cận nhu cầu của doanh nghiệp .",0,2
1883,"tận tâm , nghiêm khắc .",0,2
1884,giáo viên dạy nhiệt tình tâm huyết .,0,2
1885,"giảng viên vui vẻ , hoà đồng , nhiệt tình , giảng dạy tận tâm , thường xuyên nhắc nhở những sinh viên lười biếng , thường xuyên nghỉ học đến lớp học .",0,2
1886,"cô sẵn sàng giải đáp mọi thắc mắc nhanh nhất có thể , luôn tìm hiểu kỹ nội dung để có thể dạy tốt nhất .",0,2
1887,giảng viên nghỉ quá nhiều !,0,0
1888,slide giảng dạy đầy đủ và trực quan .,1,2
1889,"giáo viên dạy tận tâm , dễ hiễu .",0,2
1890,các thiết bị âm thanh cần được đảm bảo hơn .,2,0
1891,nên thu nhỏ lớp học lại .,2,0
1892,thầy dạy rất vui và hiệu quả !,0,2
1893,giọng nói của giảng viên hơi khó nghe khiến việc tiếp thu các vấn đề hơi khó đối với sinh viên .,0,0
1894,cách giảng dạy không tạo được nền tảng ban đầu để sinh viên tự lực trong một quãng đường dài .,0,0
1895,"cần nâng cấp phòng máy và phần mềm của phòng máy , vì tụi em dùng phần mềm 2013 nhưng phòng máy có máy chỉ có phần mêm 2008 , vì thế rất khó thích ứng và nhất là trong giờ kiểm tra .",2,0
1896,"thầy dạy rất nhiệt tình , chăm chú sinh viên coloncontemn .",0,2
1897,vui tính hòa đồng với sinh viên .,0,2
1898,giáo viên không giúp đỡ sinh viên thực hành .,0,0
1899,thầy hài hước vui vẻ nhiệt tình .,0,2
1900,đầy đủ chi tiết .,3,2
1901,chương trình dạy chưa được cập nhật .,0,0
1902,"thầy thực hành vào lớp đúng một buổi , chưa đầy 2 tiết và chỉ để giao lưu , trao đổi .",0,0
1903,"thầy hay dạy quá giờ , 3h15 kết thúc nhưng hơn 3h30 mới cho về .",0,0
1904,làm bài tập và kiểm tra bài thường xuyên .,1,2
1905,tăng cường thiết bị .,2,1
1906,"tốt , có sự ủng hộ , giúp đỡ cao .",0,2
1907,và vui tính .,0,2
1908,"tuy nhiên cách truyền đạt của thầy vẫn chưa dễ hiểu lắm , nên nói ít lý thuyết hơn .",0,0
1909,nhiệt tình giải đáp mọi thắc mắc của sinh viên .,0,2
1910,"tạo ra một môi trường năng động , giúp đỡ nhiều cho sinh viên trong kỹ năng học tập và làm việc cũng như cách cư xử trong cuộc sống .",1,2
1911,nhưng mong cô giảm tải bớt phần đồ án .,0,0
1912,thầy nhiệt tình .,0,2
1913,nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .,0,0
1914,giảng viên cần có phương pháp giảng dạy tốt hơn .,0,0
1915,thầy đôi khi bỏ tiết không báo trước .,1,0
1916,nhiều nội dung môn học bị bỏ qua .,0,0
1917,"phương pháp truyền đạt tốt , đảm bảo đủ lượng kiến thức cung cấp cho sinh viên .",0,2
1918,"giảng viên có khả năng truyền đạt tốt , hay tạo nhiều tình huống để sinh viên có thể bàn luận và luôn lắng nghe nguyện vọng của sinh viên .",0,2
1919,em chỉ mong giảng viên đừng đổi giờ lên lớp nữa ạ .,0,0
1920,bên cạnh đó lại đòi hỏi chuẩn quá cao trong khi việc truyền đạt thì vô cùng không hiệu quả .,0,0
1921,"cô rất vui tính , nhiệt tình , giảng bài tập chi tiết , dễ hiểu .",0,2
1922,cô dạy rất tốt và giải bài tập dễ hiểu .,0,2
1923,"không biết thầy nào dạy chính thức , thầy nào dạy cũng nhiệt tình .",0,2
1924,"cô biết cách truyền cảm hứng cho sinh viên , tận tâm với môn học .",0,2
1925,lượng kiến thức này không chắc chắn là sau khi ra trường có thể vận dụng thực tiễn .,1,0
1926,"thầy dạy tận tình , dễ hiểu , luôn quan tâm giúp đỡ sinh viên .",0,2
1927,"có nhiều bài tập hay , rèn luyện kỹ năng tốt .",1,2
1928,đề cương môn học nói chung chưa sát với đề cho lắm .,0,0
1929,theo em nghĩ nên sửa lại hoặc thay mới dàn máy tính cũ và dễ bị lỗi đi .,2,0
1930,không ý kiến vì chất lượng môn học tốt .,1,2
1931,nếu có thì cũng xin xem lại chất lượng môn này .,1,0
1932,các bài tập wireshark đều là của năm 2007 hết .,1,0
1933,đôi khi thầy hơi lan man .,0,0
1934,"nhiệt tình , cẩn thận , tỉ mỉ , chu đáo , truyền đạt tốt kiến thức cho sinh viên .",0,2
1935,kiến thức đầy đủ .,1,2
1936,thời gian bù môn học thường bị trùng với những tiết khác nên em thường phải bị vắng tiết .,1,0
1937,"thầy dạy rất tốt , rất hay .",0,2
1938,chưa đảm bảo việc giảng dạy theo đề cương và chương trình môn học .,0,0
1939,"nhiệt tình , giảng dạy tốt .",0,2
1940,"thầy dạy dễ hiểu , những phần khó hiểu thầy hay viết outline .",0,2
1941,trang thiết bị tốt hơn .,2,0
1942,"vui vẻ , biết lắng nghe ý kiến sinh viên .",0,2
1943,chưa nêu bật được ứng dụng thực tiễn của môn học .,1,0
1944,môn nào làm đồ án nên bỏ phần kiểm tra lý thuyết cuối kỳ .,1,0
1945,"dạy tận tâm , cung cấp thêm nhiều kiến thức không có trong môn học , giờ học thực hành rất hiệu quả .",0,2
1946,"cô rất tận tâm , nhiệt tình , đem hết kinh nghiệm cũng như kiến thức của mình để truyền đạt cho sinh viên , cô luôn tạo cảm hứng học tập .",0,2
1947,assignments given at home are good .,3,2
1948,đồ án nên giới hạn chủ đề .,1,0
1949,giảng viên có quan tâm đến những nhu cầu trong học tập của sinh viên .,0,2
1950,"giảng viên nhiệt tình thân thiện , trình độ cao .",0,2
1951,"mong nhà trường sửa chữa lại các máy tính đã bị hỏng ở phòng thực hành khoa wzjwz4 phòng wzjwz5 , để quá trình thực hành của sinh viên được tốt hơn .",2,0
1952,cô phát âm kém và sai .,0,0
1953,"giảng viên giảng dạy tốt , nhiệt tình .",0,2
1954,"nội dung đa dạng , giảng viên tận tình , học đầy đủ và chi tiết mặc dù đây là môn học mới .",0,2
1955,cho bài tập hay và nhiều .,0,2
1956,"cô giảng nhiệt tình dễ hiểu , giúp sinh viên giải quyết nhiều vấn đề trong lúc thực hành .",0,2
1957,"giảng viên lý thuyết nên cải thiện kỹ năng truyền đạt , và chuẩn bị bài giảng tốt hơn .",0,0
1958,"cơ sở vật chất , phỏng máy không đủ phích cắm cho dụng cụ thực hành và số lượng sinh viên , máy còn tiềm ẩn nhiều virus .",2,0
1959,thầy dạy vui tạo hứng thú cho môn học .,0,2
1960,khi gặp vấn đề sinh viên biết được cách sử dụng các phương thức hàm nào .,0,2
1961,nên cung cố thêm phần ngữ pháp và từ vựng .,1,0
1962,like ( y ) .,3,2
1963,"thầy dạy rất dễ hiểu , ví dụ minh họa rất thực tế .",0,2
1964,"không có lời giải đầy đủ , học sinh không biết làm là coi như không biết làm từ đâu hết cuối .",1,0
1965,cần cài đặt matlab trên các máy ở phòng thực hành .,2,0
1966,"chuẩn bị đầy đủ các phần mềm , chương trình cần thiết sẵn trong các phòng thực hành phù hợp với đặc trưng môn học .",0,1
1967,"thưa , thầy dạy rất dễ hiểu và luôn áp dụng bài học trên những dòng code thực tế và chạy trước lớp .",0,2
1968,"giảng viên nhiệt tình , đúng giờ .",0,2
1969,"vui vẻ , tận tâm !",0,2
1970,"có nhiều kiến thức thực tiễn , phù hợp với môi trường làm việc hiện đại .",1,2
1971,giáo viên giảng bài hơi khó hiểu và không có tài liệu tham khảo trên moodle .,0,0
1972,"giảng viên trình bày các vấn đề trong môn học mang tính cập nhật , chuẩn xác và có liên hệ thực tiễn .",0,2
1973,cần có những tiết học sinh động hơn là để sinh viên ngồi một chỗ và nghe nhưng không hiểu .,1,0
1974,đề thi thì trong vòng 90 phút phải code hoàn chính game 2048 .,1,0
1975,đưa ra ví dụ nhiều hơn ngoài slide .,0,0
1976,cô rất nhiệt tình chỉ dạy cho lớp và luôn giúp những bạn yếu kém vươn lên học tốt hơn .,0,2
1977,like .,3,2
1978,giảng dạy chi tiết và thường xuyên ôn lại kiến thức !,0,2
1979,không có ý kiến chất lượng môn học vừa đủ cho mọi sinh viên .,3,1
1980,"giảng dễ hiểu , nội dung đầy đủ .",0,2
1981,em không có ý kiến gì thêm .,3,1
1982,thầy lên lớp không đúng thời gian và không quan tâm sinh viên .,0,0
1983,"cho ít bài tập , ví dụ cho dễ , bài tập cho khó hơn nhiều , thầy chép lý thuyết trên bảng và đọc lại y chang , sinh viên không có kỹ năng giải bài tập một cách uyển chuyển .",1,0
1984,"giảng viên dạy rất chi tiết , dễ hiểu , nội dung kiến thức khá đầy đủ .",0,2
1985,"môn này chẳng hỗ trợ it gì cả , nên dạy qua loa thôi để sinh viên tập trung các môn khác !",1,0
1986,giọng nói của giảng viên khó nghe .,0,0
1987,"thiếu các thiết bị chạy hệ điều hành windows phone , ios , android cho sinh viên thực hành .",2,0
1988,nội dung cần nguyên cứu cực kỳ nặng đối với một môn học .,1,0
1989,"nhiệt tình , khá dễ tính trong việc báo cáo các lab , có thể để nhiều lab đến cuối kỳ báo cáo một lần .",0,2
1990,"giảng viên thoải mái , nhiệt tình , gần gũi với sinh viên .",0,2
1991,cung cấp nhiều kiến thức hay cho sinh viên .,1,2
1992,"giảng viên hay đi trễ , không hướng dẫn dẫn sinh viên về nội dung thực hành cũng không quan sát theo dõi quá trình thực hành của sinh viên , các câu trả lời chưa giải đáp được thắc mắc của sinh viên .",0,0
1993,thầy chưa mấy nhiệt tình !,0,0
1994,"hòa đồng , vui vẻ , giảng dạy rất có tâm .",0,2
1995,"thầy giảng dạy nhiệt tình , hiệu quả .",0,2
1996,"nhiệt tình , tiếp cận hỗ trợ tốt những điểm không hiểu của sinh viên , truyền đạt tốt , tạo nhịp điệu cho buổi học .",0,2
1997,những kiến thức truyền đạt của thầy cô giảng viên đầy đủ và cần thiết cho sinh viên .,0,2
1998,"cô dạy nhiệt tình , tạo được động lực cho sinh viên .",0,2
1999,chứ nói thật là bọn em làm bài tập tại lớp không kịp ạ .,3,0
2000,"thầy dạy khá khó hiểu , giờ thực hành thường ít code mẫu để sinh viên tham khảo .",0,0
2001,"nội dung lan man , khó áp dụng vào thực tế .",1,0
2002,em thấy đã được .,3,1
2003,"thầy dạy tận tình , tạo không khí mới mẻ cho buổi học .",0,2
2004,bài tập rất hay .,1,2
2005,thay đổi phương pháp dạy học để sinh viên dễ tiếp thu kiến thức hơn .,1,0
2006,"cơ sở vật chất cần được cải thiện , tránh việc học ở các giảng đường .",2,0
2007,"phóng tầm nhìn đi xa hơn , những khó khăn , những kiến thức cần phải học để thành công trên đường đời .",3,2
2008,tài liệu được bổ sung nhiều và đầy đủ trên moodle .,1,2
2009,rất ấn tượng với những bài tập thở giúp cho não bộ được nghĩ ngơi của cô .,0,2
2010,cô nên tập trung vào việc giảng dạy hơn là dành 5 - 15 phút để hỏi từng từ tiếng anh trong slide .,0,0
2011,giáo viên giảng còn khó hiểu .,0,0
2012,"truyền đạt kiến thức chưa thực sự tốt , có nhiều khi lúng túng .",0,0
2013,không có hoạt động không hài lòng .,3,1
2014,cách truyền đạt của cô làm em không hiểu mặc dù cô giảng rất kỹ năng nhưng em cũng không hiểu nổi những gì cô nói .,0,0
2015,"nhiệt tình , dễ gần .",0,2
2016,giảng viên nên sử dụng moodle để cập nhật tài liệu học tập cho sinh viên .,0,0
2017,mong phòng đào tạo xem xét để khóa sau học được chất lượng ạ .,1,0
2018,ngắn gọn .,3,2
2019,"thầy dạy nhiệt tình , đầu tư cho sinh viên đi tham quan thực tế .",0,2
2020,"giáo viên luôn tạo điều kiện cho sinh viên luyện nói tiếng anh tại lớp , giải thích về bài học , ngữ pháp , từ mới vào đầu giờ .",0,2
2021,"nhiệt tình với sinh viên , tư tưởng thoải mái .",0,2
2022,"hơn nữa cô báo nghỉ rất trễ , cách rất sát giờ học .",0,0
2023,thực hành trên lớp .,1,1
2024,nội dung giảng dạy khá tốt .,0,2
2025,cô giảng dạy nhiệt tình và dễ hiểu .,0,2
2026,"giáo viên dễ tính , dạy hay .",0,2
2027,"cách giảng suông khá nhàm chán , chưa tạo được sự thu hút sinh viên nghe giảng .",0,0
2028,"thầy giáo rất nhiệt tình trong việc hỗ trợ sinh viên , giúp sinh viên hiểu ra được các khuyết điểm đồ án học tập của các nhóm .",0,2
2029,"dạy trễ , giờ học bị kéo dài .",0,0
2030,"có thể nói học nhập môn lập trình gặp được cô là một điều vô cùng may mắn , cảm ơn cô nhiều .",0,2
2031,"nếu thời gian đó , giảng viên cung cấp thêm tài liệu và hướng dẫn thêm .",0,0
2032,"giảng nhanh , không kỹ .",0,0
2033,thực tiễn tốt .,1,2
2034,chương trình học khá dài chưa tập trung .,1,0
2035,"giảng viên dạy nhiệt tình , dễ hiểu !",0,2
2036,nếu cảm thấy muốn học em sẽ tự lên lớp .,3,1
2037,"cô hay cáu gắt , khó tính , cứ hay giận dỗi .",0,0
2038,hướng dẫn sinh viên tận tình .,0,2
2039,"giảng viên truyền đạt tốt , chỉ bảo tận tình .",0,2
2040,cho ghi bài nhiều .,1,0
2041,cần ôn tập kỹ trước khi thi .,3,0
2042,đánh giá tính chuyên cần .,0,1
2043,"nhiệt tình , tâm huyết .",0,2
2044,"môn này hay , tuy nhiên thời gian học quá ít , sinh viên vận dụng chưa được nhiều trong thực tế .",1,0
2045,thực hành ngay trên lớp lý thuyết thì sẽ hay hơn .,1,0
2046,cách dạy của giảng viên chưa thực sự phù hợp với bản thân .,0,0
2047,thầy có các khái niệm thực tế và có kinh nghiệm .,0,2
2048,cách tính điểm chưa công bằng cho các thành viên trong nhóm đồ án .,1,0
2049,"giáo trình tốt , kiến thức trọng tâm .",1,2
2050,đưa nhiều bài tập khó mà có lời giải cho sinh viên về nhà nghiên cứu .,0,2
2051,"có kiến thức nền tảng này , sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng , cũng như tiếp thu thay đổi công nghệ mới nhanh chóng .",3,2
2052,"thầy dạy nhanh , sinh viên không hiểu bài cho lắm .",0,0
2053,thầy chưa bao quát được hết lớp nghe giảng .,0,0
2054,đi đúng giờ .,0,2
2055,đưa ra các hàm .,0,1
2056,"cô dạy có tâm huyết với học sinh , truyền đạt tốt , dễ hiểu .",0,2
2057,giảng viên nói quá nhanh .,0,0
2058,"thân thiện , nhiệt tình , dạy dễ hiểu .",0,2
2059,"giảng viên dạy nhiệt tình , tâm huyết dễ hiểu !",0,2
2060,bình thường với giáo viên .,3,1
2061,thầy không hay đưa bài tập làm .,0,0
2062,lớp học hơi buồn chán .,3,0
2063,sử dụng tạo bài kiểm tra trong course chưa hợp lý .,0,0
2064,bài thực hành nên mang tính chất bắt buộc hoặc khuyến khích sinh viên làm để lấy điểm cộng để tạo động lực cũng như hứng thú với bài thực hành hơn .,3,2
2065,"đúng giờ , tận tâm với lớp .",0,2
2066,"giảng viên đánh giá không khách quan , có những đánh giá thiên vị , thiếu chuyên nghiệp .",0,0
2067,"tận dụng tốt thời gian , nhiệt tình , hiền .",0,2
2068,cập nhật giáo trình chung để giảng dạy môn học .,1,0
2069,thời gian giải bài tập với sinh viên chưa nhiều .,1,0
2070,thầy dạy không nhiệt tình .,0,0
2071,giảng viên nên đảm bảo giờ lên lớp vì giảng viên đã nghỉ khá nhiều số tiết có trên lớp .,0,0
2072,"cần bổ sung thêm các game vào môn học , học anh văn mà không có game thì nói thật ra là rất dễ chán và buồn ngủ .",1,0
2073,cảm ơn .,3,1
2074,cô giáo nhiệt tình giảng bài tốt .,0,2
2075,giảng viên truyền đạt hiệu quả .,0,2
2076,thầy rất tâm lý và giảng dạy rất nhiệt tình .,0,2
2077,"thầy có slide , nhưng làm mất thời gian vì quá trình viết bảng .",0,0
2078,mục tiêu môn học nên đặt ra là doubledot sinh viên được giới thiệu những gì .,1,0
2079,"nhiệt tình , phương pháp giảng dạy hiệu quả .",0,2
2080,"thầy dạy nhiệt tình , gần gũi , vui vẻ trong buổi học .",0,2
2081,"giảng viên năng nổ , hoạt bát , dễ gần .",0,2
2082,cái này vấn đề chung của cả nước mất rồi colonhihi .,3,1
2083,thầy nên kết hợp hình ảnh và ví dụ hoá cho từng bước của giải thuật ở trong slide thay vì chữ quá nhiều sẽ khiến sinh viên khó tiếp thu hơn .,0,0
2084,"giáo viên lên lớp đúng giờ , sử dụng thời gian đứng lớp hiệu quả .",0,2
2085,nói những vấn đề không liên quan .,0,0
2086,môn học cần vận dụng tối đa giữa lý thuyết và thực hành .,1,0
2087,sinh viên than phiền nhiều sau 3 tuần thì mới có giảng viên khác thay thế .,1,0
2088,giảng viên nên đảm bảo lên lớp đúng giờ và cập nhật bài giảng lên hệ thống moodle thường xuyên hơn .,0,0
2089,tích cực giúp đỡ sinh viên .,0,2
2090,"giảng viên dễ thương , truyền đạt kiến thức tốt , dễ hiểu .",0,2
2091,cô dạy hay và dễ hiểu và rất nhiệt tình .,0,2
2092,thầy dạy tốt nhưng cần giảng mẫu cho sinh viên nắm bắt trước khi giao bài tập về nhà .,0,2
2093,giảng viên cần doubledot cho bài tập thêm về ngữ pháp .,0,0
2094,bài tập hơi ít .,1,0
2095,giảng viên dạy còn hơi nhanh .,0,0
2096,"rất nhiệt tình vì học sinh , luôn nghĩ cho học sinh , luôn đến sớm , giảng dạy hiệu quả .",0,2
2097,thầy cho điểm hơi căng .,0,0
2098,có nhiều kiến thức mở rộng .,1,2
2099,không ổn .,3,0
2100,thầy dạy nhiệt tình nhưng cách dạy của thầy hơi khô khan .,0,0
2101,thầy dạy hay nhưng do bận nhiều việc nên thời gian học không đảm bảo .,0,0
2102,hiệu quả trình bày kiến thức không cao .,1,0
2103,"cô dễ thương , dạy dễ hiểu , nhiệt tình với học sinh .",1,2
2104,không vận dụng thời gian hợp lý .,0,0
2105,"cô giảng dạy nhiệt tình , hết lòng , vững kiến thức , truyền đạt tốt , cách giảng dạy khá tốt .",0,2
2106,giảng viên chu đáo nhiệt tình .,0,2
2107,thầy luôn lắng nghe tụi em và giải thích mọi thắc mắc cách rõ ràng .,0,2
2108,ít bài tập ôn tập .,1,0
2109,truyền dạt tốt .,3,2
2110,"cần các thầy xây dựng một bộ giáo trình , tài liệu cụ thể .",1,0
2111,các phòng lab cần có wifi đủ mạnh để phục vụ tốt cho quá trình thực hành .,2,0
2112,"tinh thần trách nhiệm , nhiệt huyết , vui vẻ hòa đồng với sinh viên .",0,2
2113,cập nhật bài tập mới .,1,0
2114,"nói chung , chắc cũng là luyện cho sinh viên tự học .",1,1
2115,"giáo viên tận tình , chuẩn bị bài học chu đáo .",0,2
2116,"giảng viên diễn đạt quá nhanh , lớp thường rất đông , rất thiệt thòi cho sinh viên ngồi cuối lớp do không nhìn thấy nội dung bài giảng .",0,0
2117,"rất hài lòng về cô , cô rất nhiệt tình .",0,2
2118,cô dạy rất vui !,0,2
2119,giảng bài thú vị và sinh động .,0,2
2120,cơ sở vật chất chưa tốt để nghe tiếng anh .,0,0
2121,"trang thiết bị như doubledot quạt , micro , máy chiếu , phấn cần được hoàn thiện hơn .",2,0
2122,nhưng trên hết tụi em vẫn biết đó là ý tốt của thầy .,0,2
2123,"thực hành hay , tuy nhiên cần tìm hiểu thời gian nhiều sinh viên rảnh nhất không thì sẽ có bạn mất bài của môn .",1,0
2124,"nhiệt tình , giảng dạy có hiệu quả cao .",0,2
2125,môn học này rất thú vị và có ứng dụng nhiều trong thực tiễn cuộc sống !,1,2
2126,nên lắng nghe ý kiến của sinh viên nhiều hơn .,0,0
2127,nên cải thiện thiết bị để giáo viên truyền đạt được dễ ràng hơn .,2,0
2128,cô giảng bằng tiếng anh rất hay .,0,2
2129,thầy nên tương tác với sinh viên nhiều hơn ạ .,0,0
2130,"thầy dạy có tâm , thường dạy quá giờ .",0,2
2131,phương pháp giảng dạy chưa được cập nhật .,0,0
2132,cô wzjwz244 nhiệt tình giảng dạy và chú tâm đến tâm lý của sinh viên .,0,2
2133,sự nghiêm khắc của thầy trong công tác giảng dạy giúp sinh viên có thêm động lực học .,0,2
2134,"giảng dạy tỉ mỉ , tận tình .",0,2
2135,"giảng viên tận tâm , giảng dạy có chất lượng .",0,2
2136,cách dạy của cô rất thoải mái không gò bó sinh viên .,0,2
2137,có nhiều hoạt động giúp sinh viên nâng cao kỹ năng .,0,2
2138,cô giảng bài kỹ !,0,2
2139,sự nhiệt tình của cô .,0,1
2140,những gì quan trọng cần nắm bắt và tìm hiểu thêm .,1,0
2141,quan tâm sinh viên .,0,2
2142,thầy giảng đôi khi còn hơi nhanh nên có lúc vẫn chưa hiểu hết .,0,0
2143,dạy song song hai lớp cùng lúc và không dạy nhiệt tình cho sinh viên trường đại học công nghệ thông tin .,0,0
2144,thầy wzjwz269 không chỉ dạy em kiến thức chuyên môn mà còn cả tầm nhìn bên ngoài xã hội .,0,2
2145,"giảng viên tận tâm , nhiệt tình , ham học hỏi .",0,2
2146,thầy luôn tạo một vẻ bề ngoài khiến cho sinh viên căng thẳng khi học .,0,0
2147,mong thầy cho thêm bài tập về nhà và share slide .,0,0
2148,các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,1,0
2149,em thấy thầy dạy hay hơn thầy wzjwz301 hi hi .,0,2
2150,thầy dạy hay kêu sinh viên uống bia !,0,0
2151,"thầy giáo dạy rất nhiệt tình , khả năng truyền đạt tốt , vui vẻ , lịch sự , dễ gần .",0,2
2152,"đề thầy ra rất hay và thiết thực với đời sống sinh viên ( bài , game , chat ) .",0,2
2153,dạy chưa hiểu rõ bài .,0,0
2154,"giảng viên dạy dễ hiểu , và đầy đủ nội dung .",0,2
2155,"giảng viên chu đáo , nhiệt tình trong giảng dạy .",0,2
2156,giảng viên cần tăng cường trao đổi nội dung môn học qua website môn học .,0,0
2157,"thầy vui vẻ , dễ tính .",0,2
2158,theo em giảng viên cần phân loại các dạng bài tập theo từng buổi học để sinh viên dễ tiếp thu hơn chứ không nên một lần tung ra quá nhiều bài tập trên moodle mà không hướng dẫn làm cho sinh viên cảm thấy nặng nề .,0,0
2159,đôi lúc giảng bài hơi nhanh .,0,0
2160,"mong cô thay đổi một chút về phương pháp như sau , có lẽ sẽ giúp sinh viên tiếp cận dễ dàng với bài học hơn .",0,0
2161,cố gắng tạo mọi điều kiện để sinh viên hoạt động nâng cao kỹ năng .,0,2
2162,có thể do đặc thù môn học với cách giảng dạy nên hơi khó hiểu .,0,0
2163,do là hình thức thực hành 2 .,1,0
2164,mail không trả lời .,0,0
2165,"giảng viên rất vui vẻ , phương pháp của thầy giúp sinh viên chủ động học tập .",0,2
2166,cần chú trọng kỹ năng nghe nói nhiều sẽ hiệu quả hơn .,0,0
2167,"giọng nói của thầy có tính ổn định quá cao , cần phải bổ sung thêm các xung trầm bổng để không gây buồn ngủ ạ .",0,0
2168,đồ án của môn học có những đồ án quá nặng trong khi phân công đồ án chưa phù hợp với lực học của từng sinh viên .,1,0
2169,"cô vui tính , thân thiện .",0,2
2170,"nhiệt huyết , rất dễ nắm bài .",0,2
2171,điều em hài lòng nhất đó là giảng viên nhiệt tình va luôn tạo được cảm giác hứng thú khi mà học tiếng anh .,0,2
2172,giáo viên thường xuyên cho nghỉ học .,0,0
2173,"ghi quá nhiều , giảng dạy còn khó hiểu , nên sửa bài tập cho về .",0,0
2174,có vài bạn nộp đồ án trễ nhưng vẫn được điểm rất cao .,0,0
2175,"giảng viên giảng bài còn mơ hồ , phức tạp .",0,0
2176,"thầy dạy rất hay , nhiệt tình và dễ hiểu .",0,2
2177,thầy giảng hay .,0,2
2178,phòng lab chưa được cải thiện .,2,0
2179,"thầy không nên cho code trước mà nên để sinh viên tự làm , như vậy sinh viên sẽ nhớ lâu hơn .",0,0
2180,em nhìn nó giống như ma trận chữ hơn .,3,1
2181,thầy dạy chưa đúng với thời gian biểu .,0,0
2182,nên dành thời gian cho các bạn sửa bài rồi mới làm bài mới .,0,0
2183,"em mong những lần sau thầy hãy gom lại những phần xử lý giống nhau vào một câu thôi , sinh viên làm được phần này đương nhiên sẽ làm được phần kia .",0,0
2184,"tận tâm , nhiệt tình , sử dụng giờ hiệu quả .",0,2
2185,giáo trình môn học cần xác định cho phù hợp với thực lực và trình độ của sinh viên .,1,0
2186,thầy giảng bài rất hay và dễ hiểu .,0,2
2187,"giảng dạy dễ hiểu , đầy đủ .",0,2
2188,giảng bài dễ hiểu chuyên sâu .,0,2
2189,cơ sở vật chất còn yếu kém .,2,0
2190,môn này gắn với thực tế nhiều nên có những các tương tác trực tiếp với nhau .,1,0
2191,"thầy cực kỳ dễ thương , và còn dạy rất hay nữa .",0,2
2192,"thầy nhiệt tình , giúp đỡ sinh viên hiệu quả .",0,2
2193,"nhiệt tình giảng dạy , giải đáp thắc mắc rất chi tiết , cung cấp đầy đủ kiến thức cần thiết để kiểm tra .",0,2
2194,không thông báo cho sinh viên về việc nghỉ học .,0,0
2195,nên có giảng viên nước ngoài dạy để sinh viên có cơ hội thực hành giao tiếp .,0,0
2196,giảng viên giảng hay .,0,2
2197,"cô giảng rất hay , thâm thúy , giúp cho sinh viên dễ dàng hiểu bài .",0,2
2198,đề nghị giảng viên sử dụng moodle để tăng chất lượng dạy học .,0,0
2199,độ tập trung và cách làm việc của thầy rất nghiêm túc quy cũ .,0,0
2200,"thầy giảng hay và rất nhiệt tình với học sinh , thân thiện .",0,2
2201,hơi khắt khe .,0,0
2202,"trang bị thêm thiết bị quạt , đèn .",2,0
2203,cô giảng tận tình .,0,2
2204,em rất hài lòng về phong thái của cô .,0,2
2205,"làm tốn thời gian truyền đạt , dẫn đến hứng thú lên lớp nghe giảng bị hạn chế .",0,0
2206,giảng viên khuyến khích việc tự học và nghiên cứu ở sinh viên .,0,2
2207,"cô dạy hay , em không có ý kiến .",0,2
2208,"cảm ơn cô và chúc cô nghỉ đẻ vui vẻ , mẹ tròn con vuông !",0,2
2209,đây là những ví dụ nhập môn mà các em học sinh lớp 8 - 9 khi bắt đầu được học về quy hoạch động để đi thi học sinh giỏi .,1,1
2210,"lớp rất đông sinh viên , ngồi xa sẽ không thấy rõ slide thầy chiếu trên bảng vì chữ nhỏ và mờ tại phòng wzjwz166 gây khó tiếp thu bài học .",2,0
2211,"giảng viên có chuyên môn tốt , giải đáp trả lời thắc mắc đầy đủ từ sinh viên .",0,2
2212,kiểm tra bài cũ .,0,0
2213,"giáo viên dạy hay , nhiệt tình và cập nhật các kiến thức bên ngoài vào trong bài giảng .",0,2
2214,"tận tâm , truyền đạt tốt .",0,2
2215,ít cho nghe .,1,0
2216,"chúng em đã gặp khó khắn với khổ giấy nhỏ , mô hình thì lớn và phức tạp .",3,0
2217,cô cho nhiều bài tập rất hay và bổ ích .,0,2
2218,"cách giảng dạy rất hiệu quả , lớp học vui .",0,2
2219,"giảng viên giảng dạy rất dễ hiểu , bám sát nội dung môn học .",0,2
2220,deadline quá nhiều và khoảng cách giữa các bài deadline quá gần .,1,0
2221,"tận tâm , tài liệu học đầy đủ .",0,2
2222,sinh viên lên lớp thì muốn làm cũng được không cần phải ngồi làm bài thực hành chỉ cần đến hôm nộp bài có bài nộp là được .,1,0
2223,phần sửa bài tập quá nhanh .,0,0
